Compound	Negative	Neutral	Positive
-0.3597	0.294	0.706	0
0.9136	0	0.75	0.25
-0.8126	0.266	0.734	0
-0.3597	0.172	0.828	0
0.2023	0	0.899	0.101
0	0	1	0
0.0516	0	0.806	0.194
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.0762	0	0.92	0.08
0.3804	0	0.822	0.178
0.2363	0.137	0.668	0.194
-0.2263	0.174	0.826	0
0	0	1	0
-0.3182	0.114	0.784	0.102
0.2263	0	0.808	0.192
-0.1531	0.122	0.793	0.085
0.3182	0.047	0.856	0.097
-0.1779	0.134	0.758	0.108
0.4588	0	0.842	0.158
0.3612	0	0.8	0.2
0.5267	0	0.815	0.185
0.5878	0	0.714	0.286
0.1027	0	0.931	0.069
-0.5423	0.368	0.632	0
0	0	1	0
-0.128	0.046	0.954	0
0.3818	0	0.902	0.098
0.6152	0.076	0.717	0.207
-0.0516	0.097	0.765	0.138
0.1531	0.116	0.741	0.144
0.296	0	0.694	0.306
-0.3565	0.212	0.669	0.119
0.2263	0	0.925	0.075
0	0	1	0
0	0	1	0
0	0.044	0.912	0.044
-0.3187	0.122	0.814	0.063
0.2263	0	0.913	0.087
0	0	1	0
0.2714	0	0.847	0.153
0.3818	0	0.278	0.722
0.34	0	0.918	0.082
0.2732	0	0.87	0.13
0	0	1	0
0.93	0.042	0.689	0.269
0.25	0	0.875	0.125
0.6597	0	0.484	0.516
0.5413	0.082	0.771	0.146
0	0	1	0
0.2023	0	0.847	0.153
0	0	1	0
0	0	1	0
0.4019	0	0.722	0.278
0.2023	0	0.913	0.087
0.1695	0	0.783	0.217
0.2023	0	0.735	0.265
0.8074	0	0.743	0.257
-0.3612	0.556	0.444	0
0.34	0	0.789	0.211
0.5994	0	0.741	0.259
0	0	1	0
0	0	1	0
0	0	1	0
-0.1027	0.176	0.686	0.137
0.4588	0	0.786	0.214
-0.128	0.109	0.806	0.085
-0.2263	0.064	0.896	0.039
0	0	1	0
0.1027	0	0.877	0.123
-0.34	0.324	0.676	0
0.1027	0	0.928	0.072
0	0	1	0
0.34	0	0.815	0.185
0.2714	0	0.886	0.114
0.2023	0	0.94	0.06
0	0	1	0
0	0	1	0
0.3182	0	0.859	0.141
-0.1779	0.285	0.518	0.197
0.3818	0	0.66	0.34
0.4062	0	0.688	0.312
-0.1531	0.127	0.873	0
-0.2732	0.189	0.811	0
-0.6124	0.252	0.693	0.054
-0.4215	0.177	0.752	0.071
0.6486	0	0.773	0.227
0	0	1	0
0	0	1	0
0	0	1	0
-0.128	0.101	0.828	0.071
0.0018	0.2	0.6	0.201
-0.5733	0.426	0.574	0
-0.8519	0.538	0.462	0
0	0	1	0
-0.4019	0.162	0.838	0
0.34	0	0.556	0.444
0.34	0	0.556	0.444
-0.5574	0.474	0.526	0
0.0382	0	0.813	0.187
-0.8402	0.25	0.75	0
-0.7783	0.256	0.705	0.038
0	0	1	0
0	0	1	0
0.34	0	0.625	0.375
-0.0772	0.394	0.606	0
0.34	0	0.625	0.375
0	0	1	0
0.4939	0	0.385	0.615
0.1063	0.128	0.707	0.165
0	0	1	0
0.7587	0	0.779	0.221
0.2023	0	0.769	0.231
0	0	1	0
0.2057	0	0.794	0.206
0.7269	0	0.882	0.118
0	0	1	0
0	0	1	0
-0.357	0.216	0.784	0
-0.0516	0.05	0.95	0
-0.0772	0.061	0.939	0
0	0	1	0
0.5267	0	0.884	0.116
0.3182	0	0.798	0.202
0	0	1	0
0.129	0.092	0.78	0.128
-0.1513	0.285	0.715	0
-0.0258	0.046	0.954	0
0	0	1	0
0.4404	0	0.58	0.42
-0.2023	0.184	0.816	0
0.4956	0.057	0.754	0.189
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.0951	0	0.953	0.047
0.6249	0	0.697	0.303
-0.2057	0.232	0.768	0
0.1779	0	0.825	0.175
0.2023	0	0.893	0.107
0.5859	0	0.787	0.213
0.2023	0	0.833	0.167
0.3612	0	0.444	0.556
-0.0258	0.046	0.954	0
0.5574	0	0.833	0.167
0.4215	0	0.823	0.177
0	0	1	0
0.079	0	0.92	0.08
-0.128	0.073	0.927	0
0.5873	0.06	0.718	0.223
0.5859	0	0.798	0.202
0	0	1	0
0.7003	0.066	0.688	0.247
0.1779	0	0.936	0.064
-0.7263	0.298	0.702	0
0.4767	0	0.721	0.279
0.2023	0	0.909	0.091
0.6908	0.072	0.65	0.278
0.0649	0.099	0.779	0.121
0	0	1	0
0.3197	0	0.874	0.126
0	0	1	0
0.3182	0	0.897	0.103
0	0	1	0
0	0	1	0
0	0	1	0
-0.1531	0.257	0.571	0.171
0	0	1	0
0.4404	0	0.836	0.164
0	0	1	0
0	0	1	0
-0.2263	0.147	0.853	0
-0.0772	0.152	0.711	0.137
-0.3612	0.263	0.737	0
-0.25	0.25	0.75	0
0.34	0	0.702	0.298
0	0	1	0
0.6249	0	0.747	0.253
0	0	1	0
0.3612	0	0.762	0.238
0.6114	0.046	0.753	0.201
0.128	0	0.828	0.172
0	0	1	0
-0.128	0.103	0.897	0
0.296	0.114	0.652	0.234
0	0	1	0
0	0	1	0
-0.3431	0.297	0.581	0.122
0.2263	0	0.881	0.119
0.4404	0	0.755	0.245
0	0	1	0
-0.7579	0.517	0.483	0
0.5267	0	0.82	0.18
0	0	1	0
0	0	1	0
0	0	1	0
0.3818	0	0.755	0.245
-0.1027	0.241	0.648	0.111
0.2023	0	0.357	0.643
0.6115	0	0.734	0.266
0	0	1	0
0.34	0	0.821	0.179
0	0	1	0
0	0	1	0
-0.3818	0.56	0.2	0.24
-0.25	0.087	0.913	0
0.4588	0	0.882	0.118
0	0	1	0
0	0	1	0
0.2764	0.093	0.769	0.138
-0.3682	0.361	0.451	0.188
0.0382	0	0.924	0.076
0	0	1	0
0.1531	0	0.89	0.11
-0.0762	0.126	0.874	0
0	0	1	0
0	0	1	0
0.0516	0	0.87	0.13
-0.4767	0.227	0.773	0
0	0	1	0
0.4215	0	0.741	0.259
-0.4019	0.124	0.876	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.3818	0.265	0.735	0
0.1613	0.085	0.802	0.113
-0.2023	0.205	0.795	0
0.2263	0.074	0.817	0.109
0	0	1	0
0	0	1	0
-0.2263	0.241	0.759	0
0.34	0	0.805	0.195
-0.2263	0.182	0.692	0.126
-0.1511	0.185	0.815	0
-0.033	0.174	0.661	0.165
0.1477	0	0.864	0.136
0.4939	0	0.738	0.262
0	0	1	0
-0.34	0.158	0.789	0.053
-0.3182	0.063	0.937	0
0.6369	0	0.792	0.208
-0.4404	0.262	0.738	0
0.1761	0.087	0.776	0.137
0.5719	0.114	0.651	0.235
0.1119	0.078	0.829	0.093
0	0	1	0
0.128	0	0	1
-0.0516	0.098	0.902	0
0.4588	0	0.636	0.364
-0.0495	0.101	0.839	0.059
0	0	1	0
0	0	1	0
0	0	1	0
-0.3632	0.201	0.799	0
0	0	1	0
0	0	1	0
0.0772	0.09	0.758	0.152
-0.2732	0.259	0.741	0
0	0	1	0
-0.2975	0.24	0.76	0
0	0	1	0
0	0	1	0
0.6369	0	0.829	0.171
-0.1695	0.122	0.878	0
			
0.4404	0	0.879	0.121
0	0	1	0
0.4588	0	0.769	0.231
0.2732	0	0.851	0.149
-0.5136	0.302	0.698	0
0.296	0	0.862	0.138
-0.6103	0.162	0.711	0.127
-0.2831	0.234	0.537	0.229
0	0	1	0
0.5106	0	0.875	0.125
0.0428	0.089	0.746	0.166
0	0	1	0
0	0	1	0
0.1027	0.141	0.704	0.156
-0.5983	0.15	0.85	0
0	0	1	0
0	0	1	0
0	0	1	0
0.3818	0	0.852	0.148
0.2732	0.144	0.68	0.176
-0.2023	0.087	0.913	0
0	0	1	0
0.4926	0	0.892	0.108
0.6597	0	0.565	0.435
0.5574	0	0.705	0.295
0	0	1	0
0.3987	0	0.956	0.044
0.807	0	0.783	0.217
0.3987	0	0.877	0.123
0.765	0	0.714	0.286
0.9097	0	0.737	0.263
0.4404	0	0.782	0.218
0	0	1	0
0	0	1	0
0.1027	0	0.938	0.062
0	0	1	0
0.5984	0	0.836	0.164
0	0	1	0
0.3818	0	0.809	0.191
0.3818	0	0.833	0.167
0	0	1	0
0.6486	0	0.845	0.155
0	0	1	0
0.2624	0.072	0.821	0.108
-0.6124	0.278	0.722	0
0.6908	0	0.784	0.216
0.4003	0	0.806	0.194
0	0	1	0
0.4588	0	0.9	0.1
0.4215	0	0.682	0.318
0.8999	0	0.637	0.363
0	0	1	0
0.5859	0	0.612	0.388
0.6908	0	0.898	0.102
0.658	0	0.798	0.202
0.3818	0	0.698	0.302
0.1027	0	0.877	0.123
0.7902	0	0.763	0.237
0	0	1	0
-0.2732	0.231	0.769	0
0.4588	0	0.846	0.154
-0.2732	0.159	0.758	0.083
0.6124	0	0.7	0.3
0.802	0	0.766	0.234
0.1027	0	0.588	0.412
0.0772	0.175	0.629	0.196
0.6697	0.053	0.737	0.21
0.5574	0	0.455	0.545
0.3612	0	0.286	0.714
-0.1139	0.138	0.862	0
-0.1813	0.091	0.811	0.098
0	0	1	0
0.3182	0	0.881	0.119
0	0	1	0
0.1779	0.21	0.494	0.296
0.6808	0	0.869	0.131
0.6597	0	0.735	0.265
0	0	1	0
0	0	1	0
0.2924	0	0.786	0.214
0.5376	0.051	0.78	0.169
0	0	1	0
-0.25	0.095	0.905	0
0	0	1	0
0	0	1	0
0.4798	0	0.66	0.34
0.6219	0	0.759	0.241
-0.2411	0.141	0.859	0
0.1531	0.094	0.778	0.128
0.3182	0	0.813	0.187
-0.2263	0.089	0.838	0.073
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.34	0	0.455	0.545
0	0	1	0
0	0	1	0
0.34	0	0.625	0.375
0.2446	0	0.771	0.229
0.1262	0	0.909	0.091
0.5719	0	0	1
-0.4019	0.403	0.597	0
0	0	1	0
0.2732	0	0.588	0.412
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.0516	0	0.625	0.375
0	0	1	0
0	0	1	0
-0.1531	0.444	0.556	0
-0.1531	0.138	0.862	0
0	0	1	0
-0.4019	0.278	0.722	0
-0.1027	0.159	0.706	0.135
0	0	1	0
-0.7845	0.18	0.82	0
0.1027	0	0.741	0.259
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.0377	0	1	0
0.2714	0	0.618	0.382
0.7741	0	0.706	0.294
0.4215	0	0.641	0.359
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.3818	0.094	0.906	0
0.1027	0	0.811	0.189
0	0	1	0
0	0	1	0
-0.4019	0.172	0.828	0
-0.4019	0.119	0.881	0
0	0	1	0
0	0	1	0
0	0	1	0
0.743	0	0.842	0.158
-0.6908	0.158	0.842	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.2732	0.11	0.89	0
-0.296	0.108	0.833	0.058
0	0	1	0
0	0	1	0
-0.2263	0.117	0.814	0.069
